Año,Codigo_Dep,Departamento,Codigo_Mun,Municipio,No. Muestras,IRCA,Nivel de riesgo
2018,91,Amazonas,91001,Leticia,95,19.85,Medio
2018,91,Amazonas,91540,Puerto Nariño,24,28.88,Medio
2018,5,Antioquia,5002,Abejorral,67,0.69,Sin riesgo
2018,5,Antioquia,5004,Abriaquí,35,4.36,Sin riesgo
2018,5,Antioquia,5021,Alejandría,36,2.5,Sin riesgo
2018,5,Antioquia,5030,Amagá,34,0,Sin riesgo
2018,5,Antioquia,5031,Amalfi,71,0.75,Sin riesgo
2018,5,Antioquia,5034,Andes,68,3.01,Sin riesgo
2018,5,Antioquia,5036,Angelópolis,36,2.55,Sin riesgo
2018,5,Antioquia,5038,Angostura,35,0,Sin riesgo
2018,5,Antioquia,5040,Anorí,36,1.59,Sin riesgo
2018,5,Antioquia,5044,Anza,36,0.54,Sin riesgo
2018,5,Antioquia,5045,Apartadó,137,0.79,Sin riesgo
2018,5,Antioquia,5051,Arboletes,34,1.87,Sin riesgo
2018,5,Antioquia,5055,Argelia,33,81.68,Inviable sanitariamente
2018,5,Antioquia,5059,Armenia,33,0.8,Sin riesgo
2018,5,Antioquia,5079,Barbosa,59,0.06,Sin riesgo
2018,5,Antioquia,5088,Bello,144,1.21,Sin riesgo
2018,5,Antioquia,5086,Belmira,36,1.08,Sin riesgo
2018,5,Antioquia,5091,Betania,36,2.7,Sin riesgo
2018,5,Antioquia,5093,Betulia,36,0,Sin riesgo
2018,5,Antioquia,5107,Briceño,36,2.01,Sin riesgo
2018,5,Antioquia,5113,Buriticá,35,0,Sin riesgo
2018,5,Antioquia,5120,Cáceres,35,3.55,Sin riesgo
2018,5,Antioquia,5125,Caicedo,35,0,Sin riesgo
2018,5,Antioquia,5129,Caldas,86,6.48,Bajo
2018,5,Antioquia,5134,Campamento,36,2,Sin riesgo
2018,5,Antioquia,5138,Cañasgordas,36,0.54,Sin riesgo
2018,5,Antioquia,5142,Caracolí,35,0.26,Sin riesgo
2018,5,Antioquia,5145,Caramanta,36,0,Sin riesgo
2018,5,Antioquia,5147,Carepa,57,3.83,Sin riesgo
2018,5,Antioquia,5150,Carolina,36,0.74,Sin riesgo
2018,5,Antioquia,5154,Caucasia,223,1.55,Sin riesgo
2018,5,Antioquia,5172,Chigorodó,60,0.32,Sin riesgo
2018,5,Antioquia,5190,Cisneros,48,23.31,Medio
2018,5,Antioquia,5101,Ciudad Bolívar,108,6.23,Bajo
2018,5,Antioquia,5197,Cocorná,36,2.84,Sin riesgo
2018,5,Antioquia,5206,Concepción,35,0.63,Sin riesgo
2018,5,Antioquia,5209,Concordia,36,0,Sin riesgo
2018,5,Antioquia,5212,Copacabana,84,0.7,Sin riesgo
2018,5,Antioquia,5234,Dabeiba,71,0.27,Sin riesgo
2018,5,Antioquia,5237,Don Matías,36,0,Sin riesgo
2018,5,Antioquia,5240,Ebéjico,36,5.41,Bajo
2018,5,Antioquia,5250,El Bagre,60,1.05,Sin riesgo
2018,5,Antioquia,5148,El Carmen De Viboral,60,0.44,Sin riesgo
2018,5,Antioquia,5697,El Santuario,72,0.3,Sin riesgo
2018,5,Antioquia,5264,Entrerrios,36,6.5,Bajo
2018,5,Antioquia,5266,Envigado,40,0,Sin riesgo
2018,5,Antioquia,5282,Fredonia,36,0,Sin riesgo
2018,5,Antioquia,5284,Frontino,71,0,Sin riesgo
2018,5,Antioquia,5306,Giraldo,37,4.45,Sin riesgo
2018,5,Antioquia,5308,Girardota,59,0,Sin riesgo
2018,5,Antioquia,5310,Gómez Plata,36,0.54,Sin riesgo
2018,5,Antioquia,5313,Granada,36,1.47,Sin riesgo
2018,5,Antioquia,5315,Guadalupe,36,1.28,Sin riesgo
2018,5,Antioquia,5318,Guarne,36,0,Sin riesgo
2018,5,Antioquia,5321,Guatape,36,0.74,Sin riesgo
2018,5,Antioquia,5347,Heliconia,35,0.55,Sin riesgo
2018,5,Antioquia,5353,Hispania,37,0.62,Sin riesgo
2018,5,Antioquia,5360,Itagui,117,0.03,Sin riesgo
2018,5,Antioquia,5361,Ituango,36,0.61,Sin riesgo
2018,5,Antioquia,5364,Jardín,36,0.54,Sin riesgo
2018,5,Antioquia,5368,Jericó,36,0.74,Sin riesgo
2018,5,Antioquia,5376,La Ceja,131,0.6,Sin riesgo
2018,5,Antioquia,5380,La Estrella,58,0,Sin riesgo
2018,5,Antioquia,5390,La Pintada,35,2.07,Sin riesgo
2018,5,Antioquia,5400,La Unión,36,0.54,Sin riesgo
2018,5,Antioquia,5411,Liborina,36,0,Sin riesgo
2018,5,Antioquia,5425,Maceo,35,0,Sin riesgo
2018,5,Antioquia,5440,Marinilla,60,0.38,Sin riesgo
2018,5,Antioquia,5001,Medellín,1938,0.69,Sin riesgo
2018,5,Antioquia,5467,Montebello,35,5.57,Bajo
2018,5,Antioquia,5480,Mutatá,72,0.56,Sin riesgo
